,Unnamed: 0,word,lemma,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner,pos_score,neg_score,obj_score,conv_pos,conv_neg,conv_pos(w=3),conv_neg(w=3),conv_pos(w=5),conv_neg(w=5),emo_flag
13774,13774,that,that,129.435,129.645,9.22325659724273,SCONJ,9,2,1,2,0.0,0.0,1.0,0.0625,0.3125,0.0625,0.3125,0.1,0.6,0
13775,13775,you,you,129.645,129.725,7.992843190830359,PRON,9,3,2,3,0.0,0.0,1.0,0.03125,0.15625,0.03125,0.15625,0.075,0.425,0
13776,13776,ve,have,129.725,129.785,8.165193017977023,AUX,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.25,0
13777,13777,found,found,129.785,130.065,6.314978182564803,VERB,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.025,0.125,0
13778,13778,what,what,130.065,130.205,7.344589846836358,PRON,9,3,2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13779,13779,was,was,130.205,130.395,8.84891128785763,AUX,9,3,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13780,13780,wrong,wrong,130.395,130.565,4.4622001030286365,ADJ,9,2,1,2,0.125,0.75,0.125,0.125,0.75,0.125,0.75,0.125,0.75,0
13781,13781,with,with,130.565,130.675,8.78902023454392,ADP,9,2,1,2,0.0,0.0,1.0,0.0625,0.375,0.0625,0.375,0.1,0.6000000000000001,0
13782,13782,your,your,130.675,130.835,6.857019723766016,DET,9,3,2,3,0.0,0.0,1.0,0.03125,0.1875,0.03125,0.1875,0.075,0.44999999999999996,0
13783,13783,engine,engine,130.835,131.27,3.704309791769294,NOUN,9,2,15,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.30000000000000004,0
13784,13784,now,now,131.738,131.91299999999998,6.757037034934793,ADV,9,3,2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.025,0.15000000000000002,0
13785,13785,you,you,131.91299999999998,132.083,7.992843190830359,PRON,9,2,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13786,13786,ll,will,132.083,132.143,7.539186617561429,VERB,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13787,13787,be,be,132.143,132.273,8.716207971151853,AUX,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13788,13788,able,able,132.273,132.503,5.444234241448191,ADJ,9,2,1,2,0.125,0.0,0.875,0.125,0.0,0.125,0.0,0.125,0.0,0
13789,13789,to,to,132.503,132.613,10.106224294072677,PART,9,3,1,2,0.0,0.0,1.0,0.0625,0.0,0.0625,0.0,0.1,0.0,0
13790,13790,go,go,132.613,132.803,6.016644845638281,VERB,9,2,1,2,0.0,0.0,1.0,0.03125,0.0,0.03125,0.0,0.075,0.0,0
13791,13791,back,back,132.803,133.173,6.243623063490716,ADV,9,2,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,0
13792,13792,home,home,133.173,133.44799999999998,5.806399229642964,ADV,9,2,9,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.025,0.0,0
13793,13793,how,how,134.121,134.276,6.6817576586850205,ADV,9,3,2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13794,13794,did,did,134.276,134.42700000000002,6.7723363918744015,AUX,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13795,13795,you,you,134.42700000000002,134.526,7.992843190830359,PRON,9,2,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13796,13796,know,know,134.526,134.841,6.2411526536443045,VERB,9,2,4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13797,13797,i,i,135.56,135.665,8.500758884952813,PRON,9,3,2,3,0.0,0.25,0.75,0.0,0.25,0.0,0.25,0.0,0.25,0
13798,13798,was,was,135.665,135.885,8.84891128785763,AUX,9,2,1,2,0.0,0.0,1.0,0.0,0.125,0.0,0.125,0.0,0.2,0
13799,13799,just,just,135.885,136.125,6.354370040797351,ADV,9,2,2,2,0.0,0.0,1.0,0.0,0.0625,0.0,0.0625,0.0,0.15,0
13800,13800,coming,coming,136.125,136.455,4.786074071694426,VERB,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0
13801,13801,to,to,136.455,136.555,10.106224294072677,PART,9,3,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0
13802,13802,tell,tell,136.555,136.875,5.2342587302473165,VERB,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13803,13803,him,him,136.875,137.085,7.309814593955469,PRON,9,2,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13804,13804,that,that,137.085,137.475,9.22325659724273,SCONJ,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13805,13805,against,against,137.475,137.945,6.253155508034431,ADP,9,3,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13806,13806,all,all,137.945,138.165,7.8677183393124785,DET,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13807,13807,odds,odds,138.165,138.645,2.3239551187302383,NOUN,9,1,3,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
